-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-nan -nan -nan
-0.423357 -0.261779 2.97588
-20.059 -10.1675 9.88422
-18.8962 -1.73433 9.94855
-0.411888 -0.137275 2.41772
-0.414207 -0.115252 2.43192
-0.413516 -0.0906517 2.42295
-0.414335 -0.0648369 2.42967
-0.414012 -0.0389503 2.45826
-0.414682 -0.013694 2.46292
-0.413235 0.0115085 2.48361
-0.436228 0.0651617 2.99708
-0.404816 0.0551238 2.54144
-0.37978 0.0482067 2.56557
-0.342417 0.0504008 2.59913
-0.271903 0.0683017 2.65846
-0.208552 0.0971417 2.71116
-0.149946 0.153662 3.02113
-0.124264 0.180267 3.0313
-2.3906 9.79711 10.0423
-9.36605 9.79096 9.97779
-0.123338 0.259616 3.04883
-0.132576 0.294729 3.10175
-0.142943 0.329384 3.1465
-0.136302 0.334094 3.07783
-1.23803 5.23539 10.0008
-0.148892 0.387864 3.14745
-5.45817 9.78887 9.99916
-0.166703 0.439856 3.20614
-0.175788 0.419076 3.04216
-0.188468 0.490184 3.26122
-0.1966 0.508402 3.26531
-0.206927 0.527965 3.26408
-0.225014 0.560446 3.29851
-0.234005 0.580778 3.30668
-0.244037 0.539179 3.0616
-0.258002 0.565364 3.08571
-0.290794 0.674513 3.37567
-0.28474 0.609652 3.1041
-0.298858 0.639807 3.14192
-0.312252 0.660727 3.14103
-0.325344 0.676541 3.13704
-0.329441 0.68635 3.13668
-0.304265 0.676556 3.16182
-0.251498 0.641178 3.19901
-0.169482 0.579 3.23349
-0.0701589 0.499817 3.25526
0.00819885 0.441081 3.2906
0.0639665 0.38478 3.3028
0.0927554 0.426074 3.55685
0.107126 0.42279 3.58866
0.114364 0.41368 3.60549
0.105025 0.418344 3.56969
0.101484 0.369551 3.42421
0.110708 0.394198 3.4849
0.111276 0.393076 3.43987
0.107577 0.396561 3.46106
0.106469 0.402563 3.43998
0.103547 0.408745 3.45022
0.10563 0.414889 3.4572
0.101544 0.410717 3.39258
0.0942786 0.420729 3.4514
0.0976786 0.422602 3.41779
0.094298 0.428167 3.46116
-4.05321 9.78826 9.99342
-4.05321 9.78826 9.99342
0.0909247 0.430033 3.4375
0.0885659 0.42582 3.42273
-0.428027 5.17665 9.97304
-0.428027 5.17665 9.97304
0.0871763 0.428848 3.45911
0.0882178 0.421236 3.42888
-0.730426 7.07713 10.0837
0.113043 0.388263 3.44207
0.15945 0.332342 3.41197
0.194248 0.242792 3.45792
0.187161 0.127092 3.47232
0.215555 0.0608286 3.39414
0.220152 0.00477744 3.25208
0.217786 -0.0268233 3.39462
0.217444 -0.0537611 3.38775
0.215442 -0.0738944 3.39011
0.211854 -0.101432 3.42683
0.210193 -0.130185 3.40495
0.20679 -0.164067 3.39276
0.188936 -0.209679 3.51504
0.199576 -0.236406 3.46209
0.193269 -0.272125 3.4735
0.19245 -0.307402 3.46091
0.189971 -0.345221 3.49815
0.183851 -0.388208 3.64298
0.188534 -0.407076 3.4825
0.186307 -0.439052 3.49239
0.184053 -0.471977 3.52647
0.183061 -0.496247 3.52666
0.173872 -0.538596 3.6906
0.179237 -0.539671 3.51068
0.176669 -0.559737 3.50693
0.173774 -0.580923 3.49923
0.163231 -0.60679 3.53653
0.157081 -0.627107 3.54312
-0.148725 0.644286 -3.51338
0.117014 -0.691639 3.70236
0.125495 -0.678512 3.52129
0.111872 -0.670897 3.54254
0.0987997 -0.628131 3.53991
0.0800613 -0.588513 3.55503
0.0624918 -0.570617 3.58902
0.0394023 -0.572906 3.59368
0.005347 -0.59703 3.85343
-0.0211472 -0.606366 3.87187
-0.0481347 -0.613081 3.87881
-0.0641737 -0.594473 3.67276
-0.109059 -0.617498 3.84513
-0.134074 -0.620118 3.906
-0.152404 -0.608586 3.76455
-0.181 -0.612474 3.78202
-3.08918 -8.34844 10.0126
-0.249803 -0.615271 3.97995
-0.280216 -0.618925 3.97645
-0.307638 -0.616242 3.9062
-0.337432 -0.618555 3.9151
-0.333106 -0.605526 3.68565
-1.62842 -2.43316 9.86803
-0.402595 -0.575155 3.61889
-8.07352 -10.1806 9.91527
-0.442197 -0.616082 3.91987
-0.455377 -0.614218 3.88853
-0.47609 -0.611747 3.92187
-0.481335 -0.584966 3.7575
-16.6004 -10.1875 10.0193
-12.476 -10.1733 9.91021
-0.494937 -0.582071 3.73147
0.51839 0.583081 -3.86535
-20.0825 -10.179 9.92193
-4.00595 -3.49489 10.0279
-0.339313 -0.440342 3.74034
-0.221214 -0.328158 3.78843
-0.0697691 -0.190163 3.82584
0.115583 -0.049304 4.00895
0.334945 0.0349043 3.94275
0.545074 0.0865991 3.83374
0.787477 0.124218 3.93127
0.931288 0.110054 3.78028
1.08145 0.0967757 3.74236
1.21625 0.0906679 3.74399
1.28984 0.0832549 3.68846
1.34073 0.089446 3.6797
1.4547 0.0852026 3.85887
1.36257 0.0686363 3.64284
1.4735 0.0714505 3.84749
1.41075 0.0597626 3.70053
1.41532 0.0481682 3.67585
1.43049 0.0435497 3.68421
